Variable,Description,Values
StartDate,Date when Qualtrics survey was opened,month/day/year time
EndDate,Date when Qualtrics survey was closed,month/day/year time
Status,Type of survey observation,"0 / IP Address: A normal response
1 / Survey Preview: A preview response
2 / Survey Test: A test response
4 / Imported: An imported response
8 / Spam: A possible spam response
9  / Preview Spam: A possible spam response submitted through the preview link
12 / Imported Spam: A possible spam response that was imported
16 / Offline: A Qualtrics Offline App response
17 / Offline Preview: Previews submitted through the Qualtrics Offline App. This feature is deprecated in latest versions of the app"
Progress,Percentage of survey completed,0-100
Duration (in seconds),Amount of time participant spent completing survey,
Finished,Indicator of whether participant submitted a completed survey,"0 = participant left survey before completing
1 = participant submitted completed survey"
RecordedDate,Date survey was recorded in Qualtrics,
ResponseId,Qualtrics-generated unique identifier for each participant,
DistributionChannel,Method of survey distribution,"preview = preview version of survey used
anonymous = anonymized official version of survey used"
UserLanguage,Language that participant completed study in,EN = English
consent,"After you have reviewed the consent form, please confirm below that you have reviewed the form and are ready to begin the study.","1 = Yes, I consent
2 = No, I do not consent"
control_events,"Control Condition: ""For the next few minutes, think back over the past day (past 24 hours) and write down five events that somehow affected you.""",
control_interesting,"Control Condition: ""For the next few minutes, think back over the past day (past 24 hours) and write down five interesting events that somehow affected you.""",
control_hassles,"Control Condition: ""For the next few minutes, think back over the past day and write down five hassles or annoying situations you had to face.""",
grat_list,"Gratitude Intervention: ""For the next few minutes, think back over the past week and write down five things in your life that you are grateful or thankful for.""",
grat_letter,"Gratitude Intervention: ""Today, we want you to write a letter of gratitude (yped communication that is normally sent in an envelope by mail or messenger) towards someone who who has done something for which you are extremely grateful.""",
grat_text,"Gratitude Intervention: ""deeply. Today, we want you to use your cellphone to text (a short electronic message sent from one cell phone to another using a cellular network) someone who has done something for which you are extremely grateful, and thank them for their kind act(s).""",
grat_hk_list,"Gratitude Intervention: ""Please reflect on each of the three good moments by asking yourself three questions. What did I receive? What did I give? What more could I do?""",
grat_sing_sub,"Gratitude Intervention: ""Next, please choose one of the five things you have written and describe how your life would be like if that particular moment or person was not present in your life.""",
grat_god_list,"Gratitude Intervention: ""Please write down anything for which you are grateful or thankful to God for giving you. You may list as many or as few things as you would like.""",
grat_god_letter,"Gratitude Intervention: "". Think about how God, a higher power, or some type of spiritual being has benefited you. List how you refer to this entity here and indicate how you would best describe them. Please write a letter to this entity, thanking them for all the ways they have benefited you.""",
happy,"Report of extent that participant experienced feeling ""happy"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
obligated,"Report of extent that participant experienced feeling ""obligated"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
sad,"Report of extent that participant experienced feeling ""sad"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
proud,"Report of extent that participant experienced feeling ""proud"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
optimistic,"Report of extent that participant experienced feeling ""optimistic"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
envious,"Report of extent that participant experienced feeling ""envious"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
angry,"Report of extent that participant experienced feeling ""angry"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
depressed,"Report of extent that participant experienced feeling ""depressed"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
pleased,"Report of extent that participant experienced feeling ""pleased"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
uncomfortable,"Report of extent that participant experienced feeling ""uncomfortable"" after completing the task","2 = ""not at all""; 7 = ""extremely"""
annoyed,"Report of extent that participant experienced feeling ""annoyed"" after completing the task","3 = ""not at all""; 7 = ""extremely"""
nervous,"Report of extent that participant experienced feeling ""nervous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
thankful,"Report of extent that participant experienced feeling ""thankful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
joyful,"Report of extent that participant experienced feeling ""joyful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
anxious,"Report of extent that participant experienced feeling ""anxious"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
guilty,"Report of extent that participant experienced feeling ""guilty"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
hopeful,"Report of extent that participant experienced feeling ""hopeful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
bitter,"Report of extent that participant experienced feeling ""bitter"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
appreciative,"Report of extent that participant experienced feeling ""appreciative"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
satisfied,"Report of extent that participant experienced feeling ""satisfied"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
indebted,"Report of extent that participant experienced feeling ""indebted"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
content,"Report of extent that participant experienced feeling ""content"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
ashamed,"Report of extent that participant experienced feeling ""ashamed"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
frustrated,"Report of extent that participant experienced feeling ""frustrated"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
scared,"Report of extent that participant experienced feeling ""scared"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
peaceful,"Report of extent that participant experienced feeling ""peaceful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
grateful,"Report of extent that participant experienced feeling ""grateful"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
jealous,"Report of extent that participant experienced feeling ""jealous"" after completing the task","1 = ""not at all""; 7 = ""extremely"""
ls_1,In most ways my life is close to my ideal.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_2,The conditions of my life are excellent.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_3,I am satisfied with my life.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_4,So far I have gotten the important things I want in life.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
ls_5,"If I could live my life over, I would change almost nothing.","1 = ""strongly disagree""; 7 = ""strongly agree"""
circle_task,Report of which circle size represents how large or small the participant feels about themselves.,1 = small; 7 = large
color_task_red_6,"Report of how ""red"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_yellow_1,"Report of how ""yellow"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
color_task_blue_1,"Report of how ""blue"" the displayed color is",0 = not at all; 5 = moderately; 10 = extremely
ladder,Report of what ladder rung represents how good the participant sees their life as.,"0 = worst, 10 = best"
self_image,Report of which stick figure size best describes themselves.,1 = small; 7 = large
signature,Report of which signature size best describes themselves.,1 = small; 7 = large
gratitude_1,I have so much in life to be thankful for.,"1 = ""strongly disagree""; 7 = ""strongly agree"""
